riskset_type,cohort,riskset_sequences,riskset_persons,observed_sequences,observed_persons,event_sequences,event_persons,observed_risk,confirmed_deaths,confirmed_alive_nonresponse,unknown_alive_or_dead,other_or_missing_status,telephone_only_events,respondent_weight_available_percent
one_wave,CHARLS,11554,7957,10087,6923,2432,2432,0.24110240904134,419,203,730,115,604,98.6584732560152
one_wave,ELSA,47194,12620,39654,10668,4990,4017,0.125838503051395,704,1835,4987,14,239,93.3678009916515
one_wave,HRS,124620,27881,105514,24419,12644,10058,0.119832439297155,5275,7877,0,5954,714,98.5154870807254
one_wave,MHAS,24405,13439,18985,11033,3210,3055,0.169080853305241,1478,921,580,2441,0,97.680803114116
two_wave,CHARLS,4415,4415,3915,3915,787,787,0.201021711366539,187,0,304,9,178,99.4110985277463
two_wave,ELSA,35595,9926,30611,8609,2975,2765,0.0971872856162817,376,1002,3600,6,177,93.5524652338812
two_wave,HRS,96635,22754,83941,20016,8066,7345,0.0960913022241813,3751,5459,0,3484,521,99.4298132146738
two_wave,MHAS,9960,6645,7797,5192,1172,1172,0.150314223419264,617,423,246,877,0,99.2469879518072
