unknown_death_fraction,scenario,repetitions,records_median,events_median,event_rate_median,event_rate_low,event_rate_high,auc_median,brier_median,citl_median,citl_low,citl_high,slope_median
0,deterministic_lower_confirmed_only,1,30987,3351,0.108142124116565,0.108142124116565,0.108142124116565,0.755518288891714,0.0867658309372017,-0.0508294971488129,-0.0508294971488129,-0.0508294971488129,1.12063690071411
1,deterministic_upper_all_unknown_deaths,1,34587,6951,0.200971463266545,0.200971463266545,0.200971463266545,0.708238090198996,0.151176343351346,0.699626214793291,0.699626214793291,0.699626214793291,0.909127902424818
0.25,landmark_stratified_random_assignment,200,31884,4248,0.13323296951449,0.13323296951449,0.13323296951449,0.73609370447101,0.104180402911646,0.19198290171288,0.188920244421024,0.194817784240649,1.0352356900447
0.5,landmark_stratified_random_assignment,200,32786,5150,0.157079241139511,0.157079241139511,0.157079241139511,0.723552884797794,0.120750898080808,0.390027555515407,0.387563171775533,0.392790672062332,0.979028685567212
