records,events,weighted_events,event_rate,mean_prediction,auc,brier,scaled_brier,calibration_intercept,calibration_slope,effective_sample_size,riskset_type,heldout,model,development_weighting,evaluation_weighting
9951,2405,53133136.7998047,0.240011156340913,0.117070538817292,0.616790263089111,0.192428293483237,-0.0549461269651748,0.896516859654138,0.94237287058454,6465.93813374781,one_wave,CHARLS,M0,equal_cohort,respondent_weighted
10087,2432,2432,0.24110240904134,0.11530038146588,0.61204361506927,0.194065761832506,-0.0606307094493677,0.918642809121533,0.931498604048647,10087,one_wave,CHARLS,M0,equal_cohort,unweighted
9951,2405,53133136.7998047,0.240011156340913,0.133011664297431,0.691652300021219,0.179104491823115,0.0180987080919006,0.790206821677229,0.958941621807087,6465.93813374781,one_wave,CHARLS,M1,equal_cohort,respondent_weighted
10087,2432,2432,0.24110240904134,0.130903045005279,0.687490197110592,0.180921395726867,0.0112074046839152,0.815387289499156,0.94486660695679,10087,one_wave,CHARLS,M1,equal_cohort,unweighted
37203,4741,4246.14383149147,0.132299362752453,0.183599284855172,0.644161002355079,0.112922802776981,0.0163196858054365,-0.397211604516779,1.38519114298735,33766.2202655906,one_wave,ELSA,M0,equal_cohort,respondent_weighted
39654,4990,4990,0.125838503051395,0.182764970895621,0.637203578631993,0.10942955871143,0.00521453579784903,-0.449267416461314,1.37796212045673,39654,one_wave,ELSA,M0,equal_cohort,unweighted
37203,4741,4246.14383149147,0.132299362752453,0.117046370699007,0.765998601123744,0.101236383106427,0.118121099608849,0.157261566887435,1.06064745304884,33766.2202655906,one_wave,ELSA,M1,equal_cohort,respondent_weighted
39654,4990,4990,0.125838503051395,0.113189131649432,0.760874917386122,0.0978012739394776,0.110923165175086,0.134530314814527,1.04565145577883,39654,one_wave,ELSA,M1,equal_cohort,unweighted
103970,12453,48544172,0.107934064108956,0.193202972358125,0.629074875555223,0.101379417483393,-0.0529174067655425,-0.703639050461488,1.03998720126431,64063.952211534,one_wave,HRS,M0,equal_cohort,respondent_weighted
105514,12644,12644,0.119832439297155,0.202093467359379,0.623944054659378,0.109922694434145,-0.0421916929781223,-0.639823522243892,1.00573986901078,105514,one_wave,HRS,M0,equal_cohort,unweighted
103970,12453,48544172,0.107934064108956,0.142721361206534,0.765055454162106,0.0880770678987702,0.0852395858096416,-0.35660954389798,1.05307185084825,64063.952211534,one_wave,HRS,M1,equal_cohort,respondent_weighted
105514,12644,12644,0.119832439297155,0.157126020112507,0.75145732425514,0.0970448186645773,0.0799051608093215,-0.351419769755349,1.01492623461302,105514,one_wave,HRS,M1,equal_cohort,unweighted
18545,3152,4085679,0.163766503847953,0.15472585792331,0.643399891712667,0.132194757269992,0.0347015819539993,0.0684847721162135,1.72398501061437,4125.57927942775,one_wave,MHAS,M0,equal_cohort,respondent_weighted
18985,3210,3210,0.169080853305241,0.159067122713559,0.646522495569017,0.135620221603707,0.0346801153847894,0.0740594849490469,1.74493985245109,18985,one_wave,MHAS,M0,equal_cohort,unweighted
18545,3152,4085679,0.163766503847953,0.275260329988258,0.708546695924766,0.142774024089952,-0.0425492087451917,-0.767509720112217,0.815090611517023,4125.57927942775,one_wave,MHAS,M1,equal_cohort,respondent_weighted
18985,3210,3210,0.169080853305241,0.28118132084725,0.719702524302521,0.143524451713636,-0.021580746066864,-0.757150804730552,0.874054491450567,18985,one_wave,MHAS,M1,equal_cohort,unweighted
3891,784,16777757.9960938,0.199210762938739,0.0937762378510553,0.623734146219219,0.166255189413512,-0.0421834779988559,0.903073100947389,0.984359103591808,2968.76197699944,two_wave,CHARLS,M0,equal_cohort,respondent_weighted
3915,787,787,0.201021711366539,0.0927781684888824,0.613889750972485,0.168590991875142,-0.0496787898635258,0.925050952010505,0.926584481975022,3915,two_wave,CHARLS,M0,equal_cohort,unweighted
3891,784,16777757.9960938,0.199210762938739,0.112492574525185,0.67097564093657,0.156087613352542,0.0215527567582059,0.726711911783716,0.905929356184309,2968.76197699944,two_wave,CHARLS,M1,equal_cohort,respondent_weighted
3915,787,787,0.201021711366539,0.1116797093589,0.661865650906515,0.158925810626642,0.0104984215277626,0.746403411925183,0.854529074315312,3915,two_wave,CHARLS,M1,equal_cohort,unweighted
28738,2823,2467.07140269876,0.101599360333648,0.153961501215951,0.64768907500143,0.0908015521266993,0.00520808691867514,-0.48413284036488,1.46726188132638,25817.977606991,two_wave,ELSA,M0,equal_cohort,respondent_weighted
30611,2975,2975,0.0971872856162817,0.153739643729839,0.643337559947991,0.088189018647021,-0.00509564334607959,-0.531588448908252,1.4769405334799,30611,two_wave,ELSA,M0,equal_cohort,unweighted
28738,2823,2467.07140269876,0.101599360333648,0.0830944030999145,0.753285593354488,0.0834914643073539,0.0852950025746114,0.239393567009459,1.10462182896235,25817.977606991,two_wave,ELSA,M1,equal_cohort,respondent_weighted
30611,2975,2975,0.0971872856162817,0.0815988936364047,0.749399431505125,0.080501842230272,0.0825155767881648,0.206728404731085,1.10193582762482,30611,two_wave,ELSA,M1,equal_cohort,unweighted
83472,8017,31978879,0.0853491495886809,0.16180804888426,0.64325588479555,0.0819964644872591,-0.0503658328486687,-0.745353224877564,1.16476574893142,51488.5750422973,two_wave,HRS,M0,equal_cohort,respondent_weighted
83941,8066,8066,0.0960913022241813,0.170640797253956,0.635870542489045,0.0904063406292178,-0.0408550325317221,-0.677216827219234,1.11135401629979,83941,two_wave,HRS,M0,equal_cohort,unweighted
83472,8017,31978879,0.0853491495886809,0.103329391192188,0.760111784179144,0.0717968985067421,0.0802895031199375,-0.227403771140225,1.1382231890249,51488.5750422973,two_wave,HRS,M1,equal_cohort,respondent_weighted
83941,8066,8066,0.0960913022241813,0.114880828065764,0.748341956453983,0.0800976233919158,0.0778300081492033,-0.215336162850612,1.10637240045335,83941,two_wave,HRS,M1,equal_cohort,unweighted
7744,1169,1683311,0.152430523358582,0.124545722357378,0.602136272239636,0.127226492931214,0.0152402103963331,0.237185824710844,1.33546324699378,1693.28989363689,two_wave,MHAS,M0,equal_cohort,respondent_weighted
7797,1172,1172,0.150314223419264,0.130624832824907,0.637760126215468,0.124534846750913,0.0249374761657267,0.165204027504454,1.6959961327669,7797,two_wave,MHAS,M0,equal_cohort,unweighted
7744,1169,1683311,0.152430523358582,0.247260625263532,0.674286735042827,0.135899952326852,-0.051894187894455,-0.681926233064726,0.720918197676809,1693.28989363689,two_wave,MHAS,M1,equal_cohort,respondent_weighted
7797,1172,1172,0.150314223419264,0.261722795755076,0.70231360680018,0.135675176373238,-0.0622872500959655,-0.786268807385991,0.833863462086375,7797,two_wave,MHAS,M1,equal_cohort,unweighted
