value,N,cohort,variable
1,1407,HRS,r7moneya
,25220,HRS,r7phonea
0,18978,HRS,r7phonea
1,1036,HRS,r7phonea
,25826,HRS,r7shopa
0,17375,HRS,r7shopa
1,2033,HRS,r7shopa
,25151,HRS,r7toilta
0,18890,HRS,r7toilta
1,1193,HRS,r7toilta
,26783,HRS,r8batha
0,16929,HRS,r8batha
1,1522,HRS,r8batha
,26789,HRS,r8beda
0,17080,HRS,r8beda
1,1365,HRS,r8beda
,26781,HRS,r8dressa
0,16398,HRS,r8dressa
1,2055,HRS,r8dressa
,26789,HRS,r8eata
0,17662,HRS,r8eata
1,783,HRS,r8eata
,27598,HRS,r8mealsa
0,16216,HRS,r8mealsa
1,1420,HRS,r8mealsa
,26784,HRS,r8medsa
0,17573,HRS,r8medsa
1,877,HRS,r8medsa
,27462,HRS,r8moneya
0,16377,HRS,r8moneya
1,1395,HRS,r8moneya
,26854,HRS,r8phonea
0,17372,HRS,r8phonea
1,1008,HRS,r8phonea
,27365,HRS,r8shopa
0,15820,HRS,r8shopa
1,2049,HRS,r8shopa
,26806,HRS,r8toilta
0,17115,HRS,r8toilta
1,1313,HRS,r8toilta
,28032,HRS,r9batha
0,15711,HRS,r9batha
1,1491,HRS,r9batha
,28041,HRS,r9beda
0,15949,HRS,r9beda
1,1244,HRS,r9beda
,28030,HRS,r9dressa
0,15269,HRS,r9dressa
1,1935,HRS,r9dressa
,28037,HRS,r9eata
0,16483,HRS,r9eata
1,714,HRS,r9eata
,28761,HRS,r9mealsa
0,15095,HRS,r9mealsa
1,1378,HRS,r9mealsa
,28034,HRS,r9medsa
0,16344,HRS,r9medsa
1,856,HRS,r9medsa
,28652,HRS,r9moneya
0,15225,HRS,r9moneya
1,1357,HRS,r9moneya
,28108,HRS,r9phonea
0,16137,HRS,r9phonea
1,989,HRS,r9phonea
,28542,HRS,r9shopa
0,14828,HRS,r9shopa
1,1864,HRS,r9shopa
,28058,HRS,r9toilta
0,16005,HRS,r9toilta
1,1171,HRS,r9toilta
,12192,MHAS,r1batha
0,14400,MHAS,r1batha
1,567,MHAS,r1batha
,12190,MHAS,r1beda
0,14174,MHAS,r1beda
1,795,MHAS,r1beda
,13113,MHAS,r1dressa
0,13147,MHAS,r1dressa
1,899,MHAS,r1dressa
,12194,MHAS,r1eata
0,14655,MHAS,r1eata
1,310,MHAS,r1eata
,13816,MHAS,r1mealsa
0,12841,MHAS,r1mealsa
1,502,MHAS,r1mealsa
,13132,MHAS,r1medsa
0,13692,MHAS,r1medsa
1,335,MHAS,r1medsa
,13147,MHAS,r1moneya
0,13693,MHAS,r1moneya
1,319,MHAS,r1moneya
,13457,MHAS,r1shopa
0,12858,MHAS,r1shopa
1,844,MHAS,r1shopa
,12204,MHAS,r1toilta
0,14385,MHAS,r1toilta
1,570,MHAS,r1toilta
,13512,MHAS,r2batha
0,13121,MHAS,r2batha
1,526,MHAS,r2batha
,13508,MHAS,r2beda
0,12976,MHAS,r2beda
1,675,MHAS,r2beda
,14660,MHAS,r2dressa
0,11745,MHAS,r2dressa
1,754,MHAS,r2dressa
,13509,MHAS,r2eata
0,13378,MHAS,r2eata
1,272,MHAS,r2eata
,15245,MHAS,r2mealsa
0,11420,MHAS,r2mealsa
1,494,MHAS,r2mealsa
,14694,MHAS,r2medsa
0,12193,MHAS,r2medsa
1,272,MHAS,r2medsa
,14674,MHAS,r2moneya
0,12205,MHAS,r2moneya
1,280,MHAS,r2moneya
,14898,MHAS,r2shopa
0,11435,MHAS,r2shopa
1,826,MHAS,r2shopa
,13508,MHAS,r2toilta
0,13156,MHAS,r2toilta
1,495,MHAS,r2toilta
,11492,MHAS,r3batha
0,14928,MHAS,r3batha
1,739,MHAS,r3batha
,11474,MHAS,r3beda
0,14429,MHAS,r3beda
1,1256,MHAS,r3beda
,12725,MHAS,r3dressa
0,13103,MHAS,r3dressa
1,1331,MHAS,r3dressa
,11488,MHAS,r3eata
0,15151,MHAS,r3eata
1,520,MHAS,r3eata
,13354,MHAS,r3mealsa
0,13190,MHAS,r3mealsa
1,615,MHAS,r3mealsa
,12883,MHAS,r3medsa
0,13944,MHAS,r3medsa
1,332,MHAS,r3medsa
,12760,MHAS,r3moneya
0,14056,MHAS,r3moneya
1,343,MHAS,r3moneya
,12964,MHAS,r3shopa
0,12924,MHAS,r3shopa
1,1271,MHAS,r3shopa
,11482,MHAS,r3toilta
0,14743,MHAS,r3toilta
1,934,MHAS,r3toilta
,12438,MHAS,r4batha
0,13766,MHAS,r4batha
1,955,MHAS,r4batha
,12431,MHAS,r4beda
0,13295,MHAS,r4beda
1,1433,MHAS,r4beda
,13361,MHAS,r4dressa
0,12296,MHAS,r4dressa
1,1502,MHAS,r4dressa
,12436,MHAS,r4eata
0,14180,MHAS,r4eata
1,543,MHAS,r4eata
,13878,MHAS,r4mealsa
0,12560,MHAS,r4mealsa
1,721,MHAS,r4mealsa
,13540,MHAS,r4medsa
0,13143,MHAS,r4medsa
1,476,MHAS,r4medsa
,13420,MHAS,r4moneya
0,13321,MHAS,r4moneya
1,418,MHAS,r4moneya
,13634,MHAS,r4shopa
0,12119,MHAS,r4shopa
1,1406,MHAS,r4shopa
,12447,MHAS,r4toilta
0,13783,MHAS,r4toilta
1,929,MHAS,r4toilta
,10154,MHAS,r5batha
0,16072,MHAS,r5batha
1,933,MHAS,r5batha
,10155,MHAS,r5beda
0,15766,MHAS,r5beda
1,1238,MHAS,r5beda
,11407,MHAS,r5dressa
0,14151,MHAS,r5dressa
1,1601,MHAS,r5dressa
,10158,MHAS,r5eata
0,16509,MHAS,r5eata
1,492,MHAS,r5eata
,11796,MHAS,r5mealsa
0,14701,MHAS,r5mealsa
1,662,MHAS,r5mealsa
,11467,MHAS,r5medsa
0,15328,MHAS,r5medsa
1,364,MHAS,r5medsa
,11439,MHAS,r5moneya
0,15350,MHAS,r5moneya
1,370,MHAS,r5moneya
,11590,MHAS,r5shopa
0,14362,MHAS,r5shopa
1,1207,MHAS,r5shopa
,10166,MHAS,r5toilta
0,15922,MHAS,r5toilta
1,1071,MHAS,r5toilta
,11440,MHAS,r6batha
0,14683,MHAS,r6batha
1,1036,MHAS,r6batha
,11431,MHAS,r6beda
0,14302,MHAS,r6beda
1,1426,MHAS,r6beda
,11434,MHAS,r6dressa
0,13852,MHAS,r6dressa
1,1873,MHAS,r6dressa
,11440,MHAS,r6eata
0,15135,MHAS,r6eata
1,584,MHAS,r6eata
,12793,MHAS,r6mealsa
0,13224,MHAS,r6mealsa
1,1142,MHAS,r6mealsa
,12493,MHAS,r6medsa
0,14033,MHAS,r6medsa
1,633,MHAS,r6medsa
,12259,MHAS,r6moneya
0,14229,MHAS,r6moneya
1,671,MHAS,r6moneya
,12578,MHAS,r6shopa
0,12747,MHAS,r6shopa
1,1834,MHAS,r6shopa
,11456,MHAS,r6toilta
0,14525,MHAS,r6toilta
1,1178,MHAS,r6toilta
