cohort,variable,variable_label,class
ELSA,h5afmort,h5afmort:w5 flag: value of mortgage/prim res,haven_labelled;vctrs_vctr;double
ELSA,h5amort,h5amort:w5 value of mortgage/prim res,numeric
ELSA,h6afmort,h6afmort:w6 flag: value of mortgage/prim res,haven_labelled;vctrs_vctr;double
ELSA,h6amort,h6amort:w6 value of mortgage/prim res,numeric
ELSA,h7afmort,h7afmort:w7 flag: value of mortgage/prim res,haven_labelled;vctrs_vctr;double
ELSA,h7amort,h7amort:w7 value of mortgage/prim res,numeric
ELSA,h8afmort,h8afmort:w8 flag: value of mortgage/prim res,haven_labelled;vctrs_vctr;double
ELSA,h8amort,h8amort:w8 value of mortgage/prim res,numeric
ELSA,h9afmort,h9afmort:w9 flag: value of mortgage/prim res,haven_labelled;vctrs_vctr;double
ELSA,h9amort,h9amort:w9 value of mortgage/prim res,numeric
ELSA,r10dadage,r10dadage:w10 R father age current/at death,numeric
ELSA,r10iwstat,r10iwstat:w10 r interview status,haven_labelled;vctrs_vctr;double
ELSA,r10momage,r10momage:w10 R mother age current/at death,numeric
ELSA,r1dadage,r1dadage:w1 R father age current/at death,numeric
ELSA,r1iwstat,r1iwstat:w1 r interview status,haven_labelled;vctrs_vctr;double
ELSA,r1momage,r1momage:w1 R mother age current/at death,numeric
ELSA,r2dadage,r2dadage:w2 R father age current/at death,numeric
ELSA,r2fvc,r2fvc:w2 r maximum lung function forced vital capacity,numeric
ELSA,r2fvc1,r2fvc1:w2 r lung function forced vital capacity 1,numeric
ELSA,r2fvc2,r2fvc2:w2 r lung function forced vital capacity 2,numeric
ELSA,r2fvc3,r2fvc3:w2 r lung function forced vital capacity 3,numeric
ELSA,r2iwstat,r2iwstat:w2 r interview status,haven_labelled;vctrs_vctr;double
ELSA,r2momage,r2momage:w2 R mother age current/at death,numeric
ELSA,r3dadage,r3dadage:w3 R father age current/at death,numeric
ELSA,r3iwstat,r3iwstat:w3 r interview status,haven_labelled;vctrs_vctr;double
ELSA,r3momage,r3momage:w3 R mother age current/at death,numeric
ELSA,r4dadage,r4dadage:w4 R father age current/at death,numeric
ELSA,r4fvc,r4fvc:w4 r maximum lung function forced vital capacity,numeric
ELSA,r4fvc1,r4fvc1:w4 r lung function forced vital capacity 1,numeric
ELSA,r4fvc2,r4fvc2:w4 r lung function forced vital capacity 2,numeric
ELSA,r4fvc3,r4fvc3:w4 r lung function forced vital capacity 3,numeric
ELSA,r4iwstat,r4iwstat:w4 r interview status,haven_labelled;vctrs_vctr;double
ELSA,r4momage,r4momage:w4 R mother age current/at death,numeric
ELSA,r5dadage,r5dadage:w5 R father age current/at death,numeric
