riskset_type,heldout,model,records,persons,events,spline_df,cluster_count,converged,prediction_p01,prediction_p99,min_fitted_risk,max_fitted_risk
two_wave,CHARLS,M0,3915,3915,787,4,3915,TRUE,0.0504813301971723,0.239336236528272,0.113429835084705,0.409835809938111
two_wave,CHARLS,M1,3915,3915,787,4,3915,TRUE,0.0238097147437768,0.394878593759019,0.0723337956220193,0.549138720197921
two_wave,HRS,M0,83941,20016,8066,4,20016,TRUE,0.0798695069677902,0.362962898335655,0.0588671675632899,0.290366421795214
two_wave,HRS,M1,83941,20016,8066,4,20016,TRUE,0.0190322273809247,0.430039695164578,0.011360345789672,0.389090942360409
two_wave,ELSA,M0,30611,8609,2975,4,8609,TRUE,0.0857476802219348,0.299450941292081,0.059351117757618,0.319027439037395
two_wave,ELSA,M1,30611,8609,2975,4,8609,TRUE,0.0141235358825516,0.355339829394873,0.0230229790107315,0.413453388129534
two_wave,MHAS,M0,7797,5192,1172,4,5192,TRUE,0.0796292764325541,0.23878720314341,0.0501297695981011,0.389298182000007
two_wave,MHAS,M1,7797,5192,1172,4,5192,TRUE,0.0462732490195546,0.712610242172261,0.0308407561651691,0.412957745423759
one_wave,CHARLS,M0,10087,6923,2432,4,6923,TRUE,0.0623568784901734,0.285566523558723,0.115750266516767,0.450409850656524
one_wave,CHARLS,M1,10087,6923,2432,4,6923,TRUE,0.0283929660479411,0.470085409081272,0.0797717583752937,0.60059506797076
one_wave,HRS,M0,105514,24419,12644,4,24419,TRUE,0.0949244156627402,0.417452769863457,0.0735428736163571,0.329454498145749
one_wave,HRS,M1,105514,24419,12644,4,24419,TRUE,0.021366996775359,0.570638875490073,0.0135006404748373,0.451594504744978
one_wave,ELSA,M0,39654,10668,4990,4,10668,TRUE,0.101090516892689,0.356232886558735,0.0776017327537261,0.390053339165418
one_wave,ELSA,M1,39654,10668,4990,4,10668,TRUE,0.0154107201642307,0.490214416040359,0.0189535989392789,0.49477051157484
one_wave,MHAS,M0,18985,11033,3210,4,11033,TRUE,0.0981422873970787,0.289232466635098,0.0724892570241682,0.445750807305901
one_wave,MHAS,M1,18985,11033,3210,4,11033,TRUE,0.0341119183539311,0.757412033168882,0.0230613265767716,0.528954689225792
