riskset_type,heldout,model,records,persons,events,event_rate,mean_prediction,auc,brier,calibration_intercept,calibration_slope
two_wave,CHARLS,M0,3915,3915,787,0.20102171136653896,0.09277816848888246,0.6138897509724844,0.1685909918751422,0.9250509520105048,0.9265844819750231
two_wave,CHARLS,M1,3915,3915,787,0.20102171136653896,0.11167970935890019,0.6618656509065147,0.15892581062664196,0.746403411925183,0.8545290743153112
two_wave,HRS,M0,83941,20016,8066,0.09609130222418127,0.17064079725395606,0.6358705424890453,0.09040634062921786,-0.6772168272192345,1.11135401629979
two_wave,HRS,M1,83941,20016,8066,0.09609130222418127,0.11488082806576369,0.7483419564539828,0.08009762339191583,-0.21533616285061177,1.1063724004533497
two_wave,ELSA,M0,30611,8609,2975,0.09718728561628173,0.1537396437298395,0.6433375599479914,0.08818901864702094,-0.5315884489082521,1.4769405334798973
two_wave,ELSA,M1,30611,8609,2975,0.09718728561628173,0.08159889363640471,0.7493994315051249,0.08050184223027196,0.2067284047310845,1.1019358276248221
two_wave,MHAS,M0,7797,5192,1172,0.15031422341926381,0.13062483282490708,0.6377601262154678,0.12453484675091284,0.1652040275044541,1.6959961327669002
two_wave,MHAS,M1,7797,5192,1172,0.15031422341926381,0.26172279575507584,0.7023136068001803,0.1356751763732381,-0.7862688073859907,0.8338634620863749
one_wave,CHARLS,M0,10087,6923,2432,0.24110240904134034,0.11530038146588038,0.6120436150692702,0.1940657618325063,0.9186428091215333,0.9314986040486468
one_wave,CHARLS,M1,10087,6923,2432,0.24110240904134034,0.13090304500527916,0.6874901971105917,0.1809213957268673,0.8153872894991562,0.9448666069567899
one_wave,HRS,M0,105514,24419,12644,0.11983243929715488,0.20209346735937908,0.6239440546593775,0.10992269443414492,-0.6398235222438922,1.0057398690107837
one_wave,HRS,M1,105514,24419,12644,0.11983243929715488,0.15712602011250745,0.7514573242551397,0.09704481866457729,-0.3514197697553489,1.0149262346130172
one_wave,ELSA,M0,39654,10668,4990,0.12583850305139457,0.18276497089562085,0.6372035786319928,0.10942955871142963,-0.4492674164613135,1.3779621204567325
one_wave,ELSA,M1,39654,10668,4990,0.12583850305139457,0.11318913164943221,0.7608749173861223,0.09780127393947763,0.1345303148145273,1.0456514557788321
one_wave,MHAS,M0,18985,11033,3210,0.16908085330524097,0.15906712271355897,0.6465224955690172,0.13562022160370674,0.07405948494904684,1.7449398524510902
one_wave,MHAS,M1,18985,11033,3210,0.16908085330524097,0.28118132084724945,0.7197025243025214,0.14352445171363568,-0.7571508047305524,0.8740544914505672
