riskset_type,heldout,model,repetitions,event_rate_median,event_rate_lower_95,event_rate_upper_95,mean_prediction_median,mean_prediction_lower_95,mean_prediction_upper_95,auc_median,auc_lower_95,auc_upper_95,brier_median,brier_lower_95,brier_upper_95,calibration_intercept_median,calibration_intercept_lower_95,calibration_intercept_upper_95,calibration_slope_median,calibration_slope_lower_95,calibration_slope_upper_95
two_wave,CHARLS,M0,300,0.20076628352490422,0.18888250319284802,0.2144508301404853,0.09283130535009945,0.09169076316120761,0.09414720228140777,0.6163319165599572,0.5939344352339901,0.6364873710679227,0.16846637840957196,0.15927614910018006,0.17853887419354525,0.9232272865931872,0.8503168848270125,1.0089597211327015,0.9349240416807378,0.769966631805675,1.099148828933565
two_wave,CHARLS,M1,300,0.20076628352490422,0.18888250319284802,0.2144508301404853,0.11163087157869873,0.1096837871988934,0.11386483561822677,0.6620084644882939,0.6416199749842384,0.6839873102625214,0.15870468005969518,0.14993006503001768,0.16849801939328796,0.7437691025635822,0.6669368848488062,0.8290577608583104,0.8566365168788477,0.7374109488834665,0.9742238602589617
two_wave,CHARLS,M1_MINUS_M0,300,0.0,0.0,0.0,0.018942473910324574,0.017281898479668795,0.020754726536818462,0.046370016874746456,0.022991480008483,0.06754553527497761,-0.00956370193249112,-0.011477975569516359,-0.00788464177117785,-0.1792336898705768,-0.1969647870357914,-0.1610874820599541,0.058042831513025084,-0.07069241388568893,0.18575087183909103
two_wave,HRS,M0,300,0.09605100994144275,0.09412767304669135,0.09788722928993565,0.17066051012254219,0.16973240274386894,0.17156498866890488,0.6363677743393257,0.6298600869623912,0.6422805634751994,0.09043148134523292,0.0890681234471443,0.09158919734154951,-0.6770890704211496,-0.6989010227013069,-0.6556891710125134,1.1143956069093748,1.0620976449200321,1.1690859758036936
two_wave,HRS,M1,300,0.09605100994144275,0.09412767304669135,0.09788722928993565,0.11486048122696325,0.11390584631218585,0.11602846929971203,0.748525778558653,0.7434784407847229,0.7530990606536367,0.08009088165399275,0.07873351489059718,0.08135362510581443,-0.21522124651346686,-0.23527661295772526,-0.19220330609067363,1.1077117841306547,1.0776946258807616,1.135777778850113
two_wave,HRS,M1_MINUS_M0,300,0.0,0.0,0.0,-0.055785499728997524,-0.05666555083094703,-0.05481515791129769,0.11221508294741539,0.10623905841927739,0.11875004079338167,-0.01029824636120507,-0.010727428296886556,-0.00987477594948917,-0.4624822715781596,-0.47080632792529264,-0.4512027361710836,-0.006394908660410925,-0.0568126315119773,0.04312051668601807
two_wave,ELSA,M0,300,0.09695812526367265,0.09386260468357108,0.10053724725590593,0.15375138411699096,0.1526570335437141,0.15469765979864825,0.644011743721963,0.634067601490127,0.6545737153329287,0.08805862277380486,0.08592086272151905,0.0903829427920175,-0.5354735577554879,-0.5696549148298611,-0.49385841319535356,1.4841394415234184,1.3885514819062748,1.588173620423482
two_wave,ELSA,M1,300,0.09695812526367265,0.09386260468357108,0.10053724725590593,0.08160991585312749,0.08028789504225407,0.0827977745980641,0.7492487816247659,0.7409920220720023,0.7588415156744863,0.08030581796008719,0.07804929761464005,0.0830505389655542,0.20413574022406558,0.1660724376850362,0.2428837187780117,1.1009963627233335,1.0554092972151266,1.1527426045429627
two_wave,ELSA,M1_MINUS_M0,300,0.0,0.0,0.0,-0.07216515042138477,-0.07312705623052868,-0.07104100528268377,0.10573189306083525,0.09682250267170368,0.11375947228843507,-0.007706362533539957,-0.008234657321175894,-0.00710884665435892,-0.3328368611495832,-0.403905085041025,-0.2513219300575987,-0.3806780458651442,-0.46974357630987235,-0.2999407832538659
two_wave,MHAS,M0,300,0.15028680978348935,0.14310116419445745,0.15847406999138774,0.13063267611995244,0.12961577127631038,0.13151028921246924,0.6375546591998014,0.6200664470556149,0.652086170820337,0.12454649188117287,0.11940784217681097,0.1305962075802761,0.16470289022520695,0.10558088943913807,0.22944060419054746,1.6937586118276586,1.4791267307029468,1.8763877474778947
