cohort,records,events,event_rate,mean_prediction,auc,brier,calibration_intercept,calibration_slope,calibration_intercept_lower_95,calibration_intercept_upper_95,calibration_slope_lower_95,calibration_slope_upper_95,no_update_candidate,retrospective_update_indication,indication_rule
CHARLS,3915,787,0.201021711366539,0.1116797093589,0.661865650906515,0.158925810626642,0.746403411925183,0.854529074315312,0.6669368848488062,0.8290577608583104,0.7374109488834665,0.9742238602589616,False,intercept_only,no update if |CITL|<=0.10 and slope 0.90-1.10; otherwise intercept-only if slope 0.80-1.20; otherwise intercept+slope
ELSA,30611,2975,0.0971872856162817,0.0815988936364047,0.749399431505125,0.080501842230272,0.206728404731085,1.10193582762482,0.1660724376850362,0.2428837187780117,1.0554092972151266,1.1527426045429627,False,intercept_only,no update if |CITL|<=0.10 and slope 0.90-1.10; otherwise intercept-only if slope 0.80-1.20; otherwise intercept+slope
HRS,83941,8066,0.0960913022241813,0.114880828065764,0.748341956453983,0.0800976233919158,-0.215336162850612,1.10637240045335,-0.2352766129577252,-0.1922033060906736,1.0776946258807616,1.135777778850113,False,intercept_only,no update if |CITL|<=0.10 and slope 0.90-1.10; otherwise intercept-only if slope 0.80-1.20; otherwise intercept+slope
MHAS,7797,1172,0.150314223419264,0.261722795755076,0.70231360680018,0.135675176373238,-0.786268807385991,0.833863462086375,-0.8518612354700129,-0.7189118061972554,0.7544009053273059,0.906803456262532,False,intercept_only,no update if |CITL|<=0.10 and slope 0.90-1.10; otherwise intercept-only if slope 0.80-1.20; otherwise intercept+slope
